chr	Start	End	strand	gene_name	gene_body_length	epd_id	TATA-box	Inr	log10_burst_size
chr1	10534002	10536002	+	PEX14	155813	PEX14_1	0	0	0.475035
chr1	11071678	11073678	+	TARDBP	12871	TARDBP_1	0	0	0.556368
chr1	11071678	11073678	+	TARDBP	12871	TARDBP_2	0	0	0.556368
chr1	11248345	11250345	+	ANGPTL7	6693	ANGPTL7_1	1	0	0.794638
chr1	11332254	11334254	+	UBIAD1	26374	UBIAD1_1	0	0	0.532970
chr1	11332254	11334254	+	UBIAD1	26374	UBIAD1_2	0	0	0.532970
chr1	11538294	11540294	+	DISP3	58346	PTCHD2_1	1	0	0.629412
chr1	11668587	11670587	+	LINC01647	3824	LINC01647_1	1	0	0.837352
chr1	11713913	11715913	+	FBXO44	8471	FBXO44_2	0	0	0.570012
chr1	11713913	11715913	+	FBXO44	8471	FBXO44_1	0	0	0.570012
chr1	11723149	11725149	+	FBXO6	10260	FBXO6_1	0	0	0.563763
chr1	11750780	11752780	+	DRAXIN	28556	DRAXIN_1	0	1	0.530377
chr1	11795141	11797141	+	AGTRAP	14687	AGTRAP_1	0	0	0.552063
chr1	11865152	11867152	+	CLCN6	37049	CLCN6_1	0	1	0.521885
chr1	11993723	11995723	+	PLOD1	40876	PLOD1_1	0	1	0.518679
chr1	12039237	12041237	+	MFN2	33335	MFN2_2	0	0	0.525330
chr1	12039237	12041237	+	MFN2	33335	MFN2_1	0	0	0.525330
chr1	12078298	12080298	+	MIIP	12808	MIIP_1	0	0	0.556528
chr1	12122433	12124433	+	TNFRSF8	80831	TNFRSF8_1	0	0	0.496441
chr1	12226059	12228059	+	TNFRSF1B	42218	TNFRSF1B_1	0	1	0.517625
chr1	12289095	12291095	+	VPS13D	282003	VPS13D_1	0	0	0.455686
chr1	12703565	12705565	+	AADACL4	22532	AADACL4_1	0	1	0.538105
chr1	12775117	12777117	+	AADACL3	12609	AADACL3_1	1	0	0.746310
chr1	12805133	12807133	+	C1orf158	14969	C1orf158_1	1	1	0.884819
chr1	12850545	12852545	+	PRAMEF1	5232	PRAMEF1_1	1	0	0.813430
chr1	12915940	12917940	+	PRAMEF2	4824	PRAMEF2_1	1	0	0.819625
chr1	13909251	13911251	+	PDPN	34201	T1A_1	1	1	0.821769
chr1	14924212	14926212	+	KAZN	469439	KAZN_2	0	0	0.439064
chr1	14924212	14926212	+	KAZN	469439	KAZN_4	0	0	0.439064
chr1	15479228	15481228	+	TMEM51	66746	TMEM51_1	0	0	0.502686
chr1	15572767	15574767	+	FHAD1	150855	FHAD1_1	0	0	0.476090
chr1	15735390	15737390	+	EFHD2	20449	EFHD2_1	0	0	0.541269
chr1	15763937	15765937	+	CTRC	8216	CTRC_1	1	1	0.930594
chr1	15782222	15784222	+	CELA2A	15364	CELA2A_1	1	0	0.731231
chr1	15801595	15803595	+	CELA2B	15300	CELA2B_1	1	0	0.731550
chr1	15852307	15854307	+	DNAJC16	44921	DNAJC16_1	0	0	0.515601
chr1	15942952	15944952	+	DDI2	43600	DDI2_1	0	1	0.516575
chr1	15985207	15987207	+	RSC1A1	2318	RSC1A1_1	0	0	0.612280
chr1	16009797	16011797	+	PLEKHM2	50467	PLEKHM2_1	0	0	0.511804
chr1	16061808	16063808	+	SLC25A34	5079	SLC25A34_1	0	0	0.586696
chr1	16067986	16069986	+	TMEM82	5306	TMEM82_1	0	0	0.585270
chr1	16084254	16086254	+	FBLIM1	27830	FBLIM1_3	0	0	0.531217
chr1	16084254	16086254	+	FBLIM1	27830	FBLIM1_1	0	0	0.531217
chr1	16173358	16175358	+	SPEN	92592	SPEN_1	0	1	0.492010
chr1	16329730	16331730	+	C1orf64	2460	C1orf64_1	1	1	1.022613
chr1	16347485	16349485	+	CLCNKA	12060	CLCNKA_1	0	1	0.558491
chr1	16369230	16371230	+	CLCNKB	13591	CLCNKB_2	0	1	0.554593
chr1	16369230	16371230	+	CLCNKB	13591	CLCNKB_3	0	0	0.554593
chr1	16766166	16768166	+	NECAP2	19418	NECAP2_1	0	0	0.542956
chr1	17247444	17249444	+	CROCC	51030	CROCC_1	0	0	0.511442
chr1	17530620	17532620	+	PADI1	40881	PADI1_1	1	1	0.808156
chr1	17574592	17576592	+	PADI3	35135	PADI3_1	0	1	0.523615
chr1	17633689	17635689	+	PADI4	55806	PADI4_1	1	1	0.784408
chr1	17865329	17867329	+	ARHGEF10L	158041	ARHGEF10L_1	0	1	0.474572
chr1	18080807	18082807	+	ACTL8	71751	ACTL8_1	0	1	0.500327
chr1	18433239	18435239	+	IGSF21	270738	IGSF21_1	0	0	0.457016
chr1	18806423	18808423	+	KLHDC7A	5057	KLHDC7A_1	0	0	0.586838
chr1	18956499	18958499	+	PAX7	105133	PAX7_1	0	0	0.487867
chr1	19535879	19537879	+	LOC101927895	30319	EMC1-AS1_1	0	0	0.528423
chr1	19577074	19579074	+	MRTO4	8548	MRTO4_1	0	1	0.569717
chr1	19637739	19639739	+	PQLC2	17055	FLJ20320_1	0	1	0.547188
chr1	19922470	19924470	+	MINOS1-NBL1	61479	MINOS1-NBL1_2	0	0	0.505367
chr1	19922470	19924470	+	MINOS1-NBL1	61479	MINOS1_1	0	0	0.505367
chr1	19922470	19924470	+	MINOS1	32845	MINOS1-NBL1_2	0	0	0.525813
chr1	19922470	19924470	+	MINOS1	32845	MINOS1_1	0	0	0.525813
chr1	19933300	19935300	+	RPS14P3	838	MINOS1-NBL1_1	1	0	0.953186
chr1	19968722	19970722	+	NBL1	15227	NBL1_1	0	1	0.550886
chr1	19968722	19970722	+	NBL1	15227	NBL1_3	0	0	0.550886
chr1	20207887	20209887	+	OTUD3	30550	OTUD3_1	0	0	0.528176
chr1	20395700	20397700	+	PLA2G5	21694	PLA2G5_1	0	1	0.539341
chr1	20464822	20466822	+	PLA2G2F	11057	PLA2G2F_1	0	1	0.561323
chr1	20511570	20513570	+	UBXN10	9971	UBXN10_1	0	0	0.564695
chr1	20616411	20618411	+	VWA5B1	63976	VWA5B1_1	0	0	0.504068
chr1	20877931	20879931	+	FAM43B	2582	FAM43B_1	0	0	0.608762
chr1	20914443	20916443	+	CDA	29957	CDA_1	0	0	0.528815
chr1	20958947	20960947	+	PINK1	18057	PINK1_1	0	0	0.545326
chr1	21765582	21767582	+	NBPF3	44811	NBPF3_1	0	1	0.515681
chr1	21765582	21767582	+	NBPF3	44811	NBPF3_2	0	0	0.515681
chr1	21834850	21836850	+	ALPL	69055	ALPL_1	1	0	0.616553
chr1	22137757	22139757	+	LDLRAD2	12957	LDLRAD2_1	0	1	0.556151
chr1	22302386	22304386	+	CELA3B	12461	CELA3B_1	1	0	0.747211
chr1	22327148	22329148	+	CELA3A	10887	CELA3A_1	1	0	0.757515
chr1	22378119	22380119	+	CDC42	40317	CDC42_1	0	0	0.519128
chr1	22777343	22779343	+	ZBTB40	79307	ZBTB40_1	0	0	0.497062
chr1	22888994	22890994	+	EPHA8	40093	EPHA8_1	0	0	0.519310
chr1	22961998	22963998	+	C1QA	3177	C1QA_1	0	1	0.601999
chr1	22969109	22971109	+	C1QC	4495	C1QC_1	0	1	0.590680
chr1	22978473	22980473	+	C1QB	8656	C1QB_1	0	1	0.569307
chr1	23036330	23038330	+	EPHB2	210663	EPHB2_2	0	0	0.465199
chr1	23036330	23038330	+	EPHB2	210663	EPHB2_1	0	0	0.465199
chr1	23344940	23346940	+	KDM1A	64244	KDM1A_1	0	0	0.503932
chr1	23694463	23696463	+	ZNF436-AS1	2867	ZNF436-AS1_1	0	1	0.605347
chr1	23694463	23696463	+	ZNF436-AS1	2867	ZNF436-AS1_2	0	0	0.605347
chr1	24017268	24019268	+	RPL11	4647	RPL11_1	0	0	0.589595
chr1	24068855	24070855	+	ELOA	18694	TCEB3_1	0	0	0.544195
chr1	24103875	24105875	+	PITHD1	9847	PITHD1_1	0	0	0.565103
chr1	24116645	24118645	+	LYPLA2	4384	LYPLA2_1	0	0	0.591496
chr1	24285300	24287300	+	PNRC2	3649	PNRC2_1	0	0	0.597481
chr1	24644811	24646811	+	GRHL3	35997	GRHL3_1	0	1	0.522824
chr1	24644811	24646811	+	GRHL3	35997	GRHL3_2	0	1	0.522824
chr1	24741239	24743239	+	NIPAL3	57234	NIPAL3_1	0	0	0.507700
chr1	24828386	24830386	+	RCAN3	34124	RCAN3_1	0	1	0.524567
chr1	24828386	24830386	+	RCAN3	34124	RCAN3_4	0	0	0.524567
chr1	24828386	24830386	+	RCAN3	34124	RCAN3_2	0	1	0.524567
chr1	24881566	24883566	+	NCMAP	53252	NCMAP_1	0	0	0.510052
chr1	24968593	24970593	+	SRRM1	30179	SRRM1_1	0	0	0.528574
chr1	25070759	25072759	+	CLIC4	99056	CLIC4_1	0	1	0.489809
chr1	25597976	25599976	+	RHD	57960	RHD_1	0	0	0.507289
chr1	25663788	25665788	+	TMEM50A	24064	TMEM50A_1	0	0	0.535959
chr1	25663788	25665788	+	TMEM50A	24064	SMP1_1	0	0	0.535959
chr1	25756348	25758348	+	TMEM57	69350	TMEM57_1	0	0	0.501437
chr1	25756348	25758348	+	TMEM57	69350	TMEM57_2	0	0	0.501437
chr1	25869075	25871075	+	LDLRAP1	25302	LDLRAP1_1	0	0	0.534323
chr1	25942958	25944958	+	MAN1C1	168740	MAN1C1_1	0	0	0.472436
chr1	26125666	26127666	+	SELENON	18047	SEPN1_1	0	0	0.545344
chr1	26145396	26147396	+	MTFR1L	13037	MTFR1L_1	0	0	0.555950
chr1	26145396	26147396	+	MTFR1L	13037	MTFR1L_2	0	0	0.555950
chr1	26145396	26147396	+	MTFR1L	13037	MTFR1L_3	0	0	0.555950
chr1	26347270	26349270	+	EXTL1	14684	EXTL1_1	0	0	0.552070
chr1	26437267	26439267	+	PDIK1L	13772	PDIK1L_2	0	1	0.554161
chr1	26437267	26439267	+	PDIK1L	13772	PDIK1L_1	0	0	0.554161
chr1	26484510	26486510	+	FAM110D	3609	FAM110D_1	0	1	0.597840
chr1	26495387	26497387	+	ZNF593	977	ZNF593_1	0	1	0.640459
chr1	26502980	26504980	+	CNKSR1	12396	CNKSR1_1	0	0	0.557595
chr1	26516118	26518118	+	CATSPER4	11915	CATSPER4_1	0	0	0.558885
chr1	26559643	26561643	+	CEP85	44658	CEP85_1	0	0	0.515793
chr1	26605212	26607212	+	SH3BGRL3	1801	SH3BGRL3_1	0	0	0.620511
chr1	26605212	26607212	+	SH3BGRL3	1801	SH3BGRL3_2	0	1	0.620511
chr1	26643410	26645410	+	CD52	2604	CDW52_1	1	1	1.018272
chr1	26736258	26738258	+	LIN28A	18961	LIN28A_1	0	0	0.543733
chr1	26757772	26759772	+	DHDDS	39023	DHDDS_1	0	0	0.520192
chr1	26797901	26799901	+	HMGN2	4232	HMGN2_1	1	0	0.829616
chr1	26855248	26857248	+	RPS6KA1	45272	RPS6KA1_1	0	0	0.515347
chr1	27021521	27023521	+	ARID1A	86080	ARID1A_1	0	1	0.494389
chr1	27021521	27023521	+	ARID1A	86080	ARID1A_2	0	0	0.494389
chr1	27113453	27115453	+	PIGV	10441	PIGV_2	0	0	0.563192
chr1	27113453	27115453	+	PIGV	10441	PIGV_1	0	0	0.563192
chr1	27152200	27154200	+	ZDHHC18	29011	ZDHHC18_1	0	0	0.529862
chr1	27188632	27190632	+	SFN	1315	SFN_1	0	0	0.630769
chr1	27247212	27249212	+	NUDC	25150	NUDC_1	0	0	0.534520
chr1	27319194	27321194	+	TRNP1	7183	TRNP1_1	1	0	0.789247
chr1	27560006	27562006	+	WDTC1	74118	WDTC1_1	0	1	0.499269
chr1	27560006	27562006	+	WDTC1	74118	WDTC1_2	0	0	0.499269
chr1	27647635	27649635	+	TMEM222	14256	TMEM222_1	0	0	0.553035
chr1	27667482	27669482	+	SYTL1	11941	SYTL1_1	0	1	0.558814
chr1	27718147	27720147	+	GPR3	3170	GPR3_1	0	0	0.602070
chr1	28051489	28053489	+	FAM76A	36934	FAM76A_1	0	1	0.521986
chr1	28098693	28100693	+	STX12	51270	STX12_1	0	0	0.511289
chr1	28156324	28158324	+	PPP1R8	20859	PPP1R8_1	0	0	0.540621
chr1	28198053	28200053	+	THEMIS2	14143	THEMIS2_1	0	1	0.553294
chr1	28260465	28262465	+	SMPDL3B	24203	ASML3B_1	0	0	0.535771
chr1	28284972	28286972	+	XKR8	8635	XKR8_1	0	0	0.569387
chr1	28284972	28286972	+	XKR8	8635	XKR8_2	0	0	0.569387
chr1	28561601	28563601	+	ATPIF1	2015	ATPIF1_1	0	0	0.616849
chr1	28584962	28586962	+	SESN2	23040	SESN2_1	0	1	0.537378
chr1	28654512	28656512	+	MED18	6966	MED18_1	0	0	0.576392
chr1	28763660	28765660	+	PHACTR4	62221	PHACTR4_1	0	1	0.504975
chr1	28831454	28833454	+	SNHG3	4950	RCC1_1	1	0	0.817658
chr1	28843744	28845744	+	RCC1	20964	RCC1_2	0	0	0.540457
chr1	28878528	28880528	+	TRNAU1AP	25529	TRNAU1AP_1	0	0	0.534032
chr1	28917711	28919711	+	RAB42	2377	RAB42_2	0	1	0.611460
chr1	28917711	28919711	+	RAB42	2377	RAB42_1	1	0	0.873632
chr1	28994239	28996239	+	GMEB1	46876	GMEB1_1	0	0	0.514212
chr1	29062135	29064135	+	YTHDF2	33152	YTHDF2_2	0	1	0.525510
chr1	29062135	29064135	+	YTHDF2	33152	YTHDF2_3	0	0	0.525510
chr1	29062135	29064135	+	YTHDF2	33152	YTHDF2_1	0	0	0.525510
chr1	29137653	29139653	+	OPRD1	51555	OPRD1_1	0	1	0.511108
chr1	29212602	29214602	+	EPB41	232956	EPB41_1	0	1	0.461918
chr1	29562027	29564027	+	PTPRU	90298	PTPRU_1	0	1	0.492829
chr1	29562027	29564027	+	PTPRU	90298	PTPRU_2	0	1	0.492829
chr1	31190618	31192618	+	MATN1-AS1	7975	MATN1-AS1_1	0	0	0.571980
chr1	31768828	31770828	+	ZCCHC17	67972	HSPC251_1	0	0	0.502092
chr1	31885659	31887659	+	SERINC2	20868	SERINC2_1	0	0	0.540607
chr1	31885659	31887659	+	SERINC2	20868	SERINC2_2	0	0	0.540607
chr1	32041085	32043085	+	TINAGL1	11202	LCN7_1	1	0	0.755339
chr1	32082300	32084300	+	HCRTR1	9619	HCRTR1_1	0	0	0.565867
chr1	32478294	32480294	+	KHDRBS1	30188	KHDRBS1_1	0	1	0.528564
chr1	32478294	32480294	+	KHDRBS1	30188	KHDRBS1_2	0	0	0.528564
chr1	32537499	32539499	+	TMEM39B	29968	TMEM39B_1	0	0	0.528803
chr1	32572643	32574643	+	KPNA6	68525	KPNA6_1	0	1	0.501828
chr1	32644344	32646344	+	TXLNA	18542	TXLNA_1	0	1	0.544461
chr1	32644344	32646344	+	TXLNA	18542	TXLNA_2	0	1	0.544461
chr1	32664986	32666986	+	CCDC28B	5005	CCDC28B_3	0	0	0.587175
chr1	32664986	32666986	+	CCDC28B	5005	CCDC28B_1	1	0	0.816815
chr1	32670235	32672235	+	IQCC	3053	IQCC_1	0	1	0.603297
chr1	32673694	32675694	+	DCDC2B	7103	DCDC2B_1	0	0	0.575757
chr1	32711817	32713817	+	FAM167B	1644	FAM167B_1	0	1	0.623486
chr1	32715839	32717839	+	LCK	34929	LCK_1	0	0	0.523807
chr1	32756707	32758707	+	HDAC1	41517	HDAC1_1	0	0	0.518171
chr1	32756707	32758707	+	HDAC1	41517	HDAC1_2	0	0	0.518171
chr1	32826861	32828861	+	TSSK3	2063	TSSK3_2	0	1	0.616081
chr1	32826861	32828861	+	TSSK3	2063	TSSK3_1	1	1	1.036042
chr1	32929657	32931657	+	ZBTB8B	22802	ZBTB8B_1	1	0	0.701104
chr1	33003745	33005745	+	ZBTB8A	66806	ZBTB8A_1	0	0	0.502656
chr1	33115748	33117748	+	RBBP4	35064	RBBP4_1	0	0	0.523681
chr1	33115748	33117748	+	RBBP4	35064	RBBP4_3	0	0	0.523681
chr1	33115748	33117748	+	RBBP4	35064	RBBP4_2	0	0	0.523681
chr1	33230234	33232234	+	KIAA1522	9337	KIAA1522_2	0	1	0.566837
chr1	33351097	33353097	+	HPCA	8150	HPCA_1	0	1	0.571272
chr1	33546778	33548778	+	AZIN2	38354	AZIN2_2	0	0	0.520756
chr1	33721173	33723173	+	ZNF362	44147	ZNF362_1	0	1	0.516168
chr1	33937231	33939231	+	ZSCAN20	23764	ZSCAN20_1	0	0	0.536368
chr1	34631483	34633483	+	C1orf94	52248	C1orf94_1	0	0	0.510673
chr1	34631483	34633483	+	C1orf94	52248	C1orf94_2	0	1	0.510673
chr1	35219647	35221647	+	GJB5	3466	GJB5_1	0	1	0.599159
chr1	35224341	35226341	+	GJB4	3984	GJB4_1	0	0	0.594616
chr1	35245789	35247789	+	GJB3	5176	GJB3_1	0	1	0.586079
chr1	35245789	35247789	+	GJB3	5176	GJB3_3	0	1	0.586079
chr1	35257598	35259598	+	GJA4	2750	GJA4_1	1	1	1.014109
chr1	35543963	35545963	+	ZMYM1	36496	ZMYM1_1	0	0	0.522375
chr1	35733567	35735567	+	ZMYM4	152978	ZMYM4_1	0	1	0.475634
chr1	36022392	36024392	+	NCDN	8988	NCDN_2	0	1	0.568080
chr1	36022392	36024392	+	NCDN	8988	NCDN_1	0	1	0.568080
chr1	36037970	36039970	+	TFAP2E	21957	TFAP2E_1	1	1	0.855586
chr1	36272827	36274827	+	AGO4	49663	AGO4_1	0	0	0.512328
chr1	36347795	36349795	+	AGO1	41104	AGO1_1	0	1	0.518497
chr1	36395682	36397682	+	AGO3	125381	AGO3_1	0	0	0.482123
chr1	36395682	36397682	+	AGO3	125381	AGO3_2	0	0	0.482123
chr1	36548675	36550675	+	TEKT2	4201	TEKT2_1	0	1	0.592886
chr1	36553452	36555452	+	ADPRHL2	5081	ADPRHL2_1	0	0	0.586683
chr1	36620565	36622565	+	MAP7D1	24886	MAP7D1_2	0	0	0.534864
chr1	36620565	36622565	+	MAP7D1	24886	MAP7D1_1	0	0	0.534864
chr1	36689012	36691012	+	THRAP3	80945	THRAP3_1	0	0	0.496395
chr1	36771707	36773707	+	SH3D21	14241	SH3D21_2	0	1	0.553069
chr1	36771707	36773707	+	SH3D21	14241	SH3D21_1	0	0	0.553069
chr1	37939118	37941118	+	ZC3H12A	9860	ZC3H12A_1	1	0	0.765076
chr1	38021519	38023519	+	DNALI1	9939	DNALI1_1	0	0	0.564800
chr1	38157072	38159072	+	CDCA8	17319	CDCA8_1	0	0	0.546687
chr1	38258773	38260773	+	MANEAL	7505	MANEAL_1	0	0	0.573961
chr1	38258773	38260773	+	MANEAL	7505	MANEAL_3	0	0	0.573961
chr1	38272472	38274472	+	C1orf122	1654	C1orf122_1	0	0	0.623288
chr1	38272472	38274472	+	C1orf122	1654	C1orf122_3	0	0	0.623288
chr1	38272472	38274472	+	C1orf122	1654	C1orf122_2	0	0	0.623288
chr1	38477383	38479383	+	UTP11	12114	UTP11L_1	0	1	0.558345
chr1	39455915	39457915	+	AKIRIN1	14822	AKIRIN1_1	0	1	0.551765
chr1	39490966	39492966	+	NDUFS5	8342	NDUFS5_1	0	0	0.570513
chr1	39874175	39876175	+	KIAA0754	6979	MACF1_1	0	0	0.576331
chr1	39956317	39958317	+	BMP8A	38224	BMP8A_1	0	0	0.520867
chr1	40029741	40031741	+	LOC101929516	8134	PABPC4-AS1_1	0	1	0.571336
chr1	40203516	40205516	+	PPIE	17925	PPIE_1	0	0	0.545565
chr1	40419783	40421783	+	MFSD2A	14857	MFSD2A_1	1	0	0.733792
chr1	40505254	40507254	+	CAP1	32067	CAP1_2	0	0	0.526595
chr1	40505254	40507254	+	CAP1	32067	CAP1_1	0	0	0.526595
chr1	40626040	40628040	+	RLF	79553	RLF_1	0	0	0.496961
chr1	40712572	40714572	+	TMCO2	3793	TMCO2_1	0	1	0.596218
chr1	40722721	40724721	+	ZMPSTE24	36135	ZMPSTE24_1	0	0	0.522700
chr1	40838377	40840377	+	SMAP2	49621	SMAP2_1	0	0	0.512356
chr1	40838377	40840377	+	SMAP2	49621	SMAP2_4	0	0	0.512356
chr1	40838377	40840377	+	SMAP2	49621	SMAP2_2	0	0	0.512356
chr1	40915336	40917336	+	ZFP69B	13054	ZFP69B_1	0	1	0.555908
chr1	40942301	40944301	+	ZFP69	18714	ZFP69_1	0	0	0.544160
chr1	40973390	40975390	+	EXO5	7332	EXO5_1	0	0	0.574722
chr1	40996232	40998232	+	ZNF684	16609	ZNF684_1	0	0	0.548052
chr1	41156241	41158241	+	NFYC	80034	NFYC_1	0	0	0.496764
chr1	41156241	41158241	+	NFYC	80034	NFYC_2	0	0	0.496764
chr1	41248683	41250683	+	KCNQ4	56441	KCNQ4_1	0	0	0.508155
chr1	41443970	41445970	+	CTPS1	33267	CTPS1_2	0	0	0.525397
chr1	41443970	41445970	+	CTPS1	33267	CTPS1_1	0	1	0.525397
chr1	41826602	41828602	+	FOXO6	21661	FOXO6_1	0	0	0.539391
