chr	start	end	length	read_count	class	promoter_gene	genic_gene	name
chr22	19220566	19221066	500	39	genic		CLTCL1	chr22:19220566-19221066
chr22	19221581	19222081	500	24	genic		CLTCL1	chr22:19221581-19222081
chr22	19232245	19232745	500	134	genic		CLTCL1	chr22:19232245-19232745
chr22	19233006	19233506	500	33	genic		CLTCL1	chr22:19233006-19233506
chr22	19241690	19242190	500	21	genic		CLTCL1	chr22:19241690-19242190
chr22	19247134	19247634	500	101	genic		CLTCL1	chr22:19247134-19247634
chr22	19249043	19249543	500	27	genic		CLTCL1	chr22:19249043-19249543
chr22	19253951	19254451	500	40	genic		CLTCL1	chr22:19253951-19254451
chr22	19263422	19263922	500	413	genic		CLTCL1	chr22:19263422-19263922
chr22	19277245	19277745	500	222	genic		CLTCL1	chr22:19277245-19277745
chr22	19277883	19278878	995	261	promoter	CLTCL1	CLTCL1	chr22:19277883-19278878
chr22	19279526	19280026	500	463	promoter	CLTCL1		chr22:19279526-19280026
chr22	19286089	19286589	500	41	intergenic			chr22:19286089-19286589
chr22	19287463	19287963	500	327	intergenic			chr22:19287463-19287963
chr22	19293051	19293551	500	36	intergenic			chr22:19293051-19293551
chr22	19293638	19294138	500	21	intergenic			chr22:19293638-19294138
chr22	19295341	19295841	500	33	intergenic			chr22:19295341-19295841
chr22	19298786	19299286	500	28	intergenic			chr22:19298786-19299286
chr22	19303471	19303971	500	75	intergenic			chr22:19303471-19303971
chr22	19304090	19304590	500	78	intergenic			chr22:19304090-19304590
chr22	19312414	19312914	500	28	intergenic			chr22:19312414-19312914
chr22	19314797	19315297	500	31	intergenic			chr22:19314797-19315297
chr22	19315713	19316579	866	50	intergenic			chr22:19315713-19316579
chr22	19321047	19321547	500	87	genic		HIRA	chr22:19321047-19321547
chr22	19332467	19332967	500	37	genic		HIRA	chr22:19332467-19332967
chr22	19333524	19334024	500	33	genic		HIRA	chr22:19333524-19334024
chr22	19337738	19338238	500	33	genic		HIRA	chr22:19337738-19338238
chr22	19342957	19343457	500	34	genic		HIRA	chr22:19342957-19343457
chr22	19347609	19348109	500	30	genic		HIRA	chr22:19347609-19348109
chr22	19353031	19353531	500	32	genic		HIRA	chr22:19353031-19353531
chr22	19355392	19355892	500	26	genic		HIRA	chr22:19355392-19355892
chr22	19358212	19358712	500	44	genic		HIRA	chr22:19358212-19358712
chr22	19359442	19359942	500	43	genic		HIRA	chr22:19359442-19359942
chr22	19362614	19363114	500	27	genic		HIRA	chr22:19362614-19363114
chr22	19365801	19366301	500	30	genic		HIRA	chr22:19365801-19366301
chr22	19370897	19371397	500	32	genic		HIRA	chr22:19370897-19371397
chr22	19378052	19378552	500	65	genic		HIRA	chr22:19378052-19378552
chr22	19384507	19385007	500	1932	genic		HIRA	chr22:19384507-19385007
chr22	19385151	19385651	500	220	genic		HIRA	chr22:19385151-19385651
chr22	19390660	19391160	500	158	genic		HIRA	chr22:19390660-19391160
chr22	19393814	19394314	500	69	genic		HIRA	chr22:19393814-19394314
chr22	19395667	19396167	500	273	genic		HIRA	chr22:19395667-19396167
chr22	19406537	19407037	500	1631	genic		HIRA	chr22:19406537-19407037
chr22	19407095	19407595	500	1091	genic		HIRA	chr22:19407095-19407595
chr22	19417914	19418414	500	614	promoter	HIRA	HIRA	chr22:19417914-19418414
chr22	19419716	19420216	500	1750	promoter	MRPL40,HIRA	MRPL40	chr22:19419716-19420216
chr22	19420562	19421062	500	367	genic		MRPL40	chr22:19420562-19421062
chr22	19427787	19428287	500	43	intergenic			chr22:19427787-19428287
chr22	19429550	19430050	500	67	intergenic			chr22:19429550-19430050
chr22	19434485	19434985	500	149	promoter	C22orf39	C22orf39	chr22:19434485-19434985
chr22	19435090	19435590	500	1019	promoter	C22orf39	C22orf39	chr22:19435090-19435590
chr22	19441624	19442124	500	57	genic		UFD1	chr22:19441624-19442124
chr22	19451003	19451503	500	79	genic		UFD1	chr22:19451003-19451503
chr22	19451657	19452157	500	40	genic		UFD1	chr22:19451657-19452157
chr22	19454863	19455363	500	58	genic		UFD1	chr22:19454863-19455363
chr22	19455429	19455929	500	31	genic		UFD1	chr22:19455429-19455929
chr22	19465144	19465644	500	144	genic		UFD1	chr22:19465144-19465644
chr22	19466967	19467467	500	3631	promoter	UFD1,CDC45	CDC45	chr22:19466967-19467467
chr22	19476654	19477154	500	92	genic		CDC45	chr22:19476654-19477154
chr22	19483430	19483930	500	36	genic		CDC45	chr22:19483430-19483930
chr22	19484693	19485193	500	115	genic		CDC45	chr22:19484693-19485193
chr22	19488992	19489492	500	43	genic		CDC45	chr22:19488992-19489492
chr22	19489696	19490196	500	40	genic		CDC45	chr22:19489696-19490196
chr22	19491401	19491901	500	69	genic		CDC45	chr22:19491401-19491901
chr22	19496763	19497263	500	41	genic		CDC45	chr22:19496763-19497263
chr22	19498450	19498950	500	34	genic		CDC45	chr22:19498450-19498950
chr22	19505007	19505507	500	41	genic		CDC45	chr22:19505007-19505507
chr22	19509708	19510208	500	35	intergenic			chr22:19509708-19510208
chr22	19510352	19510852	500	42	genic		CLDN5	chr22:19510352-19510852
chr22	19513122	19513622	500	47	promoter	CLDN5		chr22:19513122-19513622
chr22	19513878	19514378	500	41	intergenic			chr22:19513878-19514378
chr22	19515021	19515521	500	54	intergenic			chr22:19515021-19515521
chr22	19515576	19516076	500	39	intergenic			chr22:19515576-19516076
chr22	19521175	19521675	500	28	intergenic			chr22:19521175-19521675
chr22	19522560	19523060	500	56	intergenic			chr22:19522560-19523060
chr22	19527503	19528003	500	28	intergenic			chr22:19527503-19528003
chr22	19528008	19528508	500	30	intergenic			chr22:19528008-19528508
chr22	19529008	19529508	500	45	intergenic			chr22:19529008-19529508
chr22	19533335	19533835	500	30	intergenic			chr22:19533335-19533835
chr22	19534643	19535143	500	24	intergenic			chr22:19534643-19535143
chr22	19540667	19541167	500	24	intergenic			chr22:19540667-19541167
chr22	19542306	19542806	500	42	intergenic			chr22:19542306-19542806
chr22	19546686	19547186	500	53	intergenic			chr22:19546686-19547186
chr22	19548052	19548552	500	27	intergenic			chr22:19548052-19548552
chr22	19550223	19550723	500	24	intergenic			chr22:19550223-19550723
chr22	19553532	19554032	500	28	promoter	LINC00895	LINC00895	chr22:19553532-19554032
chr22	19554081	19554581	500	30	promoter	LINC00895	LINC00895	chr22:19554081-19554581
chr22	19558932	19559432	500	25	intergenic			chr22:19558932-19559432
chr22	19564270	19564770	500	276	intergenic			chr22:19564270-19564770
chr22	19565611	19566111	500	692	intergenic			chr22:19565611-19566111
chr22	19569871	19570371	500	168	intergenic			chr22:19569871-19570371
chr22	19572567	19573067	500	38	intergenic			chr22:19572567-19573067
chr22	19575656	19576156	500	63	intergenic			chr22:19575656-19576156
chr22	19581381	19581881	500	25	intergenic			chr22:19581381-19581881
chr22	19582828	19583328	500	31	intergenic			chr22:19582828-19583328
chr22	19584953	19585453	500	28	intergenic			chr22:19584953-19585453
chr22	19592287	19592787	500	251	intergenic			chr22:19592287-19592787
chr22	19600708	19601616	908	169	intergenic			chr22:19600708-19601616
chr22	19602635	19603135	500	50	intergenic			chr22:19602635-19603135
chr22	19603603	19604413	810	102	intergenic			chr22:19603603-19604413
chr22	19608511	19609011	500	33	intergenic			chr22:19608511-19609011
chr22	19609692	19610192	500	41	intergenic			chr22:19609692-19610192
chr22	19610597	19611097	500	33	intergenic			chr22:19610597-19611097
chr22	19615098	19616011	913	125	intergenic			chr22:19615098-19616011
chr22	19617375	19617875	500	371	intergenic			chr22:19617375-19617875
chr22	19619551	19620051	500	247	intergenic			chr22:19619551-19620051
chr22	19621339	19621839	500	145	intergenic			chr22:19621339-19621839
chr22	19628840	19629340	500	235	intergenic			chr22:19628840-19629340
chr22	19630923	19631423	500	1006	intergenic			chr22:19630923-19631423
chr22	19635912	19636412	500	149	intergenic			chr22:19635912-19636412
chr22	19649438	19649938	500	59	intergenic			chr22:19649438-19649938
chr22	19651458	19651958	500	137	intergenic			chr22:19651458-19651958
chr22	19656514	19657014	500	33	intergenic			chr22:19656514-19657014
chr22	19661884	19662836	952	87	intergenic			chr22:19661884-19662836
chr22	19663311	19663811	500	40	intergenic			chr22:19663311-19663811
chr22	19667070	19667570	500	136	intergenic			chr22:19667070-19667570
chr22	19668733	19669233	500	44	intergenic			chr22:19668733-19669233
chr22	19669345	19670777	1432	134	intergenic			chr22:19669345-19670777
chr22	19679211	19679711	500	838	intergenic			chr22:19679211-19679711
chr22	19683215	19683715	500	441	intergenic			chr22:19683215-19683715
chr22	19689253	19690002	749	52	intergenic			chr22:19689253-19690002
chr22	19690125	19690625	500	35	intergenic			chr22:19690125-19690625
chr22	19696747	19697247	500	80	intergenic			chr22:19696747-19697247
chr22	19701035	19701992	957	165	promoter	SEPT5	SEPT5	chr22:19701035-19701992
chr22	19705478	19705978	500	316	promoter	SEPT5-GP1BB	SEPT5-GP1BB,SEPT5	chr22:19705478-19705978
chr22	19709758	19710258	500	816	promoter	GP1BB	SEPT5-GP1BB,SEPT5	chr22:19709758-19710258
