chr	start	end	gene_name	strand	gene_id	effective_length	expected_count	TPM
chr1	1260142	1264276	CPTP	+	ENSG00000224051.6_2	1892.610000	1376.000000	9.830000
chr1	1266725	1270700	TAS1R3	+	ENSG00000169962.4_2	3185.130000	141.000000	0.600000
chr1	1270657	1284492	DVL1	-	ENSG00000107404.19_3	2128.470000	14211.000000	90.250000
chr1	1288068	1294174	MXRA8	-	ENSG00000162576.16_2	1249.130000	1338.000000	14.480000
chr1	1309109	1310818	AURKAIP1	-	ENSG00000175756.13_2	719.790000	15826.000000	297.190000
chr1	1321090	1334718	CCNL2	-	ENSG00000221978.11_2	1811.420000	29233.000000	218.140000
chr1	1337275	1342693	MRPL20	-	ENSG00000242485.5_2	485.260000	13409.940000	373.530000
chr1	1353799	1356824	ANKRD65	-	ENSG00000235098.8_2	1388.130000	0.000000	0.000000
chr1	1361507	1363167	TMEM88B	+	ENSG00000205116.3_2	244.210000	0.000000	0.000000
chr1	1365536	1369953	LINC01770	-	ENSG00000225285.1_2	191.590000	14.000000	0.990000
chr1	1370902	1378262	VWA1	+	ENSG00000179403.11_3	2484.340000	418.000000	2.270000
chr1	1385068	1405538	ATAD3C	+	ENSG00000215915.9_3	1382.180000	0.000000	0.000000
chr1	1407134	1431584	ATAD3B	+	ENSG00000160072.19_2	2123.350000	13533.260000	86.150000
chr1	1447522	1470067	ATAD3A	+	ENSG00000197785.13_2	2075.450000	15281.740000	99.530000
chr1	1470157	1475740	TMEM240	-	ENSG00000205090.8_2	545.120000	30.000000	0.740000
chr1	1477052	1510262	SSU72	-	ENSG00000160075.11_2	1281.550000	14113.440000	148.860000
chr1	1533387	1535476	FNDC10	-	ENSG00000228594.3_3	1837.130000	328.000000	2.410000
chr1	1550794	1565990	MIB2	+	ENSG00000197530.12_3	1509.380000	1426.000000	12.770000
chr1	1567559	1570030	MMP23B	+	ENSG00000189409.13_3	711.710000	11.000000	0.210000
chr1	1570602	1655859	CDK11B	-	ENSG00000248333.8_2	2172.560000	4444.020000	27.650000
chr1	1592938	1624243	SLC35E2B	-	ENSG00000189339.11_2	4968.590000	8688.430000	23.640000
chr1	1631377	1633247	MMP23A	+	ENSG00000215914.4_2	769.130000	0.000000	0.000000
chr1	1633822	1656004	CDK11A	-	ENSG00000008128.22_3	1151.040000	4801.960000	56.390000
chr1	1658823	1677438	SLC35E2	-	ENSG00000215790.6_3	1561.660000	1139.420000	9.860000
chr1	1682670	1709909	NADK	-	ENSG00000008130.15_2	1954.520000	14398.000000	99.570000
chr1	1716723	1822556	GNB1	-	ENSG00000078369.17_2	2732.520000	22676.000000	112.170000
chr1	1846265	1848733	CALML6	+	ENSG00000169885.9_2	832.640000	0.000000	0.000000
chr1	1849028	1850740	TMEM52	-	ENSG00000178821.12_2	820.930000	706.000000	11.620000
chr1	1853389	1935276	CFAP74	-	ENSG00000142609.17_2	1897.130000	3.000000	0.020000
chr1	1950767	1962192	GABRD	+	ENSG00000187730.8_2	1190.240000	0.000000	0.000000
chr1	1981908	2116834	PRKCZ	+	ENSG00000067606.16_3	1250.210000	172.860000	1.870000
chr1	2115898	2126214	FAAP20	-	ENSG00000162585.16_3	706.730000	5674.470000	108.530000
chr1	2160133	2241652	SKI	+	ENSG00000157933.9_2	4775.310000	4562.000000	12.910000
chr1	2252691	2323190	MORN1	-	ENSG00000116151.13_3	1621.620000	379.660000	3.160000
chr1	2323213	2336885	RER1	+	ENSG00000157916.19_3	1121.070000	13638.860000	164.440000
chr1	2336240	2344010	PEX10	-	ENSG00000157911.9_3	1579.190000	1510.140000	12.930000
chr1	2407753	2436969	PLCH2	+	ENSG00000149527.17_3	4158.760000	0.000000	0.000000
chr1	2439969	2458067	PANK4	-	ENSG00000157881.13_3	1499.470000	3562.000000	32.110000
chr1	2460183	2461684	HES5	-	ENSG00000197921.5_2	1058.130000	0.000000	0.000000
chr1	2487803	2497061	TNFRSF14	+	ENSG00000157873.17_2	1395.930000	183.000000	1.770000
chr1	2518188	2522908	FAM213B	+	ENSG00000157870.14_2	2404.270000	2337.140000	13.140000
chr1	2522080	2564481	MMEL1	-	ENSG00000142606.15_2	304.190000	38.860000	1.730000
chr1	2572806	2706230	TTC34	-	ENSG00000215912.12_3	8566.130000	136.000000	0.210000
chr1	2938045	2939467	ACTRT2	+	ENSG00000169717.6_3	1173.130000	0.000000	0.000000
chr1	2976180	2984289	LINC00982	-	ENSG00000177133.10_2	1380.690000	0.000000	0.000000
chr1	2985741	3355185	PRDM16	+	ENSG00000142611.16_3	8442.130000	2.000000	0.000000
chr1	3371146	3397677	ARHGEF16	+	ENSG00000130762.14_3	2567.960000	112.000000	0.590000
chr1	3404505	3528059	MEGF6	-	ENSG00000162591.15_2	5207.130000	74.000000	0.190000
chr1	3541555	3546694	TPRG1L	+	ENSG00000158109.14_2	2166.130000	867.000000	5.410000
chr1	3547330	3566671	WRAP73	-	ENSG00000116213.15_2	1215.330000	3561.000000	39.610000
chr1	3569128	3652765	TP73	+	ENSG00000078900.14_3	4749.590000	120.960000	0.340000
chr1	3652547	3663937	TP73-AS1	-	ENSG00000227372.11_3	3084.720000	6104.040000	26.750000
chr1	3668964	3688209	CCDC27	+	ENSG00000162592.9_3	2123.130000	0.000000	0.000000
chr1	3689324	3692546	SMIM1	+	ENSG00000235169.7_3	280.320000	712.000000	34.330000
chr1	3696783	3713068	LRRC47	-	ENSG00000130764.9_2	3879.440000	8380.000000	29.200000
chr1	3728644	3773797	CEP104	-	ENSG00000116198.12_2	1606.360000	3914.000000	32.930000
chr1	3773830	3801993	DFFB	+	ENSG00000169598.15_2	2212.770000	1975.000000	12.060000
chr1	3805696	3816857	C1orf174	-	ENSG00000198912.10_2	1612.600000	3902.000000	32.710000
chr1	3816967	3832011	LINC01134	+	ENSG00000236423.5_2	1692.130000	14.000000	0.110000
chr1	4000671	4012643	LINC01346	+	ENSG00000233304.6_2	1206.160000	0.000000	0.000000
chr1	4472110	4484744	LINC01777	+	ENSG00000235054.3_2	1116.540000	0.000000	0.000000
chr1	4715104	4843851	AJAP1	+	ENSG00000196581.10_2	4534.600000	0.000000	0.000000
chr1	5922867	6052533	NPHP4	-	ENSG00000131697.17_3	3421.580000	2941.000000	11.620000
chr1	6086072	6161253	KCNAB2	+	ENSG00000069424.14_2	1707.180000	797.000000	6.310000
chr1	6161846	6240194	CHD5	-	ENSG00000116254.17_2	918.500000	27.000000	0.400000
chr1	6245079	6259679	RPL22	-	ENSG00000116251.9_3	1501.570000	46782.190000	421.120000
chr1	6266188	6281359	RNF207	+	ENSG00000158286.12_2	1658.980000	3036.000000	24.740000
chr1	6281252	6296044	ICMT	-	ENSG00000116237.15_2	3423.750000	8108.000000	32.010000
chr1	6296299	6299502	LINC00337	+	ENSG00000225077.2_2	958.990000	13.000000	0.180000
chr1	6304251	6305638	HES3	+	ENSG00000173673.7_2	449.150000	0.000000	0.000000
chr1	6307405	6321035	GPR153	-	ENSG00000158292.6_2	3834.130000	182.000000	0.640000
chr1	6324331	6453826	ACOT7	-	ENSG00000097021.19_2	1221.930000	4341.000000	48.020000
chr1	6475293	6479979	HES2	-	ENSG00000069812.11_2	4014.130000	1.000000	0.000000
chr1	6484847	6521004	ESPN	+	ENSG00000187017.15_3	967.300000	38.000000	0.530000
chr1	6521213	6526255	TNFRSF25	-	ENSG00000215788.9_3	940.570000	2.000000	0.030000
chr1	6526151	6551761	PLEKHG5	-	ENSG00000171680.21_3	2416.130000	18.000000	0.100000
chr1	6581406	6614658	NOL9	-	ENSG00000162408.10_2	5569.540000	11133.000000	27.020000
chr1	6615337	6639817	TAS1R1	+	ENSG00000173662.20_3	2644.130000	37.000000	0.190000
chr1	6640050	6649340	ZBTB48	+	ENSG00000204859.12_3	872.330000	3306.000000	51.230000
chr1	6650783	6662958	KLHL21	-	ENSG00000162413.16_3	4603.680000	5436.000000	15.960000
chr1	6673755	6684093	PHF13	+	ENSG00000116273.5_2	3433.130000	2575.000000	10.140000
chr1	6685209	6693642	THAP3	+	ENSG00000041988.15_3	1022.170000	1885.690000	24.940000
chr1	6694227	6761966	DNAJC11	-	ENSG00000007923.15_2	2538.060000	10719.310000	57.090000
chr1	6784804	6790072	LINC01672	+	ENSG00000228750.6_2	535.770000	0.000000	0.000000
chr1	6845383	6948261	CAMTA1	+	ENSG00000171735.18_3	474.490000	2169.000000	61.790000
chr1	7831328	7841492	VAMP3	+	ENSG00000049245.12_3	1821.510000	4035.000000	29.940000
chr1	7844488	7905240	PER3	+	ENSG00000049246.14_2	5215.420000	4293.590000	11.130000
chr1	7907671	7913104	UTS2	-	ENSG00000049247.13_2	1353.130000	21.410000	0.210000
chr1	7975930	8003225	TNFRSF9	-	ENSG00000049249.8_3	1945.160000	8.000000	0.060000
chr1	8021713	8045342	PARK7	+	ENSG00000116288.12_3	630.000000	23223.000000	498.260000
chr1	8071778	8086393	ERRFI1	-	ENSG00000116285.12_2	2807.240000	126.000000	0.610000
chr1	8268731	8275268	LINC01714	+	ENSG00000227634.2_2	448.670000	0.000000	0.000000
chr1	8378144	8404227	SLC45A1	+	ENSG00000162426.14_2	1658.630000	0.000000	0.000000
chr1	8412463	8877699	RERE	-	ENSG00000142599.17_3	2394.540000	2996.000000	16.910000
chr1	8921058	8939151	ENO1	-	ENSG00000074800.13_3	1527.630000	181149.000000	1602.850000
chr1	8938893	8939943	ENO1-AS1	+	ENSG00000230679.1_2	208.240000	34.000000	2.210000
chr1	9005892	9035148	CA6	+	ENSG00000131686.14_2	730.470000	0.000000	0.000000
chr1	9063358	9086404	SLC2A7	-	ENSG00000197241.3_2	1291.130000	0.000000	0.000000
chr1	9097004	9129887	SLC2A5	-	ENSG00000142583.17_3	961.550000	0.000000	0.000000
chr1	9164475	9189229	GPR157	-	ENSG00000180758.11_3	5017.130000	3.000000	0.010000
chr1	9208069	9242397	MIR34AHG	-	ENSG00000228526.6_3	3963.130000	19.000000	0.060000
chr1	9242262	9252144	LINC01759	+	ENSG00000234546.3_2	737.130000	2.000000	0.040000
chr1	9294862	9331394	H6PD	+	ENSG00000049239.12_2	8676.490000	571.000000	0.890000
chr1	9352940	9429590	SPSB1	+	ENSG00000171621.13_2	2298.030000	2.000000	0.010000
chr1	9599527	9642831	SLC25A33	+	ENSG00000171612.6_3	3606.130000	3523.010000	13.210000
chr1	9648931	9665020	TMEM201	+	ENSG00000188807.12_2	3067.240000	2524.000000	11.120000
chr1	9711789	9789172	PIK3CD	+	ENSG00000171608.15_2	4577.630000	2795.000000	8.250000
chr1	9712667	9714644	PIK3CD-AS1	-	ENSG00000179840.5_2	1575.130000	3.000000	0.030000
chr1	9732483	9747632	PIK3CD-AS2	-	ENSG00000231789.2_2	691.130000	898.000000	17.560000
chr1	9789078	9884584	CLSTN1	-	ENSG00000171603.16_2	3648.200000	2873.000000	10.640000
chr1	9908333	9970316	CTNNBIP1	-	ENSG00000178585.14_2	1829.700000	1801.000000	13.300000
chr1	9986355	10003485	LZIC	-	ENSG00000162441.11_2	1280.930000	2651.000000	27.970000
chr1	10003485	10045556	NMNAT1	+	ENSG00000173614.13_3	2677.120000	768.000000	3.880000
chr1	10057254	10076078	RBP7	+	ENSG00000162444.11_2	500.640000	0.000000	0.000000
chr1	10093040	10241296	UBE4B	+	ENSG00000130939.18_3	3706.960000	7341.000000	26.770000
chr1	10270763	10441661	KIF1B	+	ENSG00000054523.17_3	8586.420000	4644.500000	7.310000
chr1	10459048	10480568	PGD	+	ENSG00000142657.20_3	1401.100000	21307.000000	205.560000
chr1	10490158	10512060	APITD1-CORT	+	ENSG00000251503.8_3	521.070000	110.950000	2.880000
chr1	10490158	10502872	CENPS	+	ENSG00000175279.21_3	649.020000	1306.680000	27.210000
chr1	10509775	10512060	CORT	+	ENSG00000241563.3_3	882.130000	4.370000	0.070000
chr1	10520602	10532613	DFFA	-	ENSG00000160049.11_2	3608.020000	8126.000000	30.440000
chr1	10535002	10690815	PEX14	+	ENSG00000142655.12_2	1718.820000	2626.000000	20.650000
chr1	10707262	10856733	CASZ1	-	ENSG00000130940.14_2	1376.180000	309.840000	3.040000
chr1	11006529	11042094	C1orf127	-	ENSG00000175262.14_3	2129.130000	1.000000	0.010000
chr1	11072678	11085549	TARDBP	+	ENSG00000120948.16_3	1158.710000	33209.910000	387.410000
chr1	11086579	11107296	MASP2	-	ENSG00000009724.16_2	2183.000000	110.000000	0.680000
chr1	11114648	11120091	SRM	-	ENSG00000116649.9_3	900.230000	7240.000000	108.710000
chr1	11126669	11159967	EXOSC10	-	ENSG00000171824.13_2	1903.910000	16123.330000	114.470000
chr1	11166587	11322608	MTOR	-	ENSG00000198793.12_3	5043.110000	14798.000000	39.660000
chr1	11203954	11209595	MTOR-AS1	+	ENSG00000225602.5_2	441.150000	0.000000	0.000000
chr1	11249345	11256038	ANGPTL7	+	ENSG00000171819.4_2	1046.480000	31.000000	0.400000
chr1	11333254	11359628	UBIAD1	+	ENSG00000120942.13_3	2584.870000	3400.000000	17.780000
chr1	11539294	11597640	DISP3	+	ENSG00000204624.7_3	4967.130000	6.000000	0.020000
chr1	11669587	11673411	LINC01647	+	ENSG00000235643.1_2	1037.130000	14.000000	0.180000
chr1	11708417	11714888	FBXO2	-	ENSG00000116661.9_2	1312.130000	115.000000	1.180000
chr1	11714913	11723384	FBXO44	+	ENSG00000132879.13_2	1546.100000	1850.000000	16.170000
chr1	11724149	11734409	FBXO6	+	ENSG00000116663.10_2	1229.850000	3211.000000	35.290000
chr1	11734536	11741271	MAD2L2	-	ENSG00000116670.14_3	848.090000	13311.000000	212.150000
chr1	11751780	11780336	DRAXIN	+	ENSG00000162490.6_2	7098.130000	3.000000	0.010000
chr1	11796141	11810828	AGTRAP	+	ENSG00000177674.15_3	800.500000	4730.000000	79.870000
chr1	11822249	11849642	C1orf167	+	ENSG00000215910.7_2	2446.270000	101.970000	0.560000
chr1	11845786	11866160	MTHFR	-	ENSG00000177000.10_3	4622.350000	16013.970000	46.830000
chr1	11866152	11903201	CLCN6	+	ENSG00000011021.21_3	3839.990000	4107.000000	14.460000
chr1	11900375	11907673	NPPA-AS1	+	ENSG00000242349.5_3	739.240000	190.000000	3.470000
chr1	11905766	11907840	NPPA	-	ENSG00000175206.10_2	480.140000	23.000000	0.650000
chr1	11917520	11918992	NPPB	-	ENSG00000120937.8_2	446.150000	0.000000	0.000000
chr1	11979644	11986485	KIAA2013	-	ENSG00000116685.15_2	2533.800000	7224.470000	38.540000
chr1	11994723	12035599	PLOD1	+	ENSG00000083444.16_2	2154.540000	6417.000000	40.260000
chr1	12040237	12073572	MFN2	+	ENSG00000116688.16_2	4021.800000	22628.000000	76.050000
chr1	12079298	12092106	MIIP	+	ENSG00000116691.10_2	1245.430000	7334.000000	79.600000
chr1	12123433	12204264	TNFRSF8	+	ENSG00000120949.14_2	3028.520000	3381.000000	15.090000
chr1	12227059	12269277	TNFRSF1B	+	ENSG00000028137.18_3	3398.890000	8346.000000	33.190000
chr1	12290095	12572098	VPS13D	+	ENSG00000048707.13_3	7069.170000	9627.000000	18.410000
chr1	12627938	12677737	DHRS3	-	ENSG00000162496.8_2	1430.490000	4727.000000	44.670000
chr1	12704565	12727097	AADACL4	+	ENSG00000204518.2_2	1327.130000	0.000000	0.000000
chr1	12776117	12788726	AADACL3	+	ENSG00000188984.11_2	3497.130000	0.000000	0.000000
chr1	12806133	12821102	C1orf158	+	ENSG00000157330.9_2	959.620000	4.000000	0.060000
chr1	12834990	12838048	PRAMEF12	+	ENSG00000116726.4_2	1538.130000	0.000000	0.000000
chr1	12851545	12856777	PRAMEF1	+	ENSG00000116721.9_2	1483.630000	0.000000	0.000000
chr1	12884617	12891264	PRAMEF11	-	ENSG00000204513.5	1422.630000	0.000000	0.000000
chr1	12907229	12908157	HNRNPCL4	-	ENSG00000179412.10_2	329.180000	0.000000	0.000000
chr1	12907229	12908609	HNRNPCL1	-	ENSG00000179172.9_3	860.130000	0.000000	0.000000
chr1	12916940	12921764	PRAMEF2	+	ENSG00000120952.4_2	1394.130000	0.000000	0.000000
chr1	12939032	12946025	PRAMEF4	-	ENSG00000243073.3_2	1580.130000	0.000000	0.000000
chr1	12998504	13002353	PRAMEF9	-	ENSG00000204501.2	1615.130000	0.000000	0.000000
chr1	13052239	13112702	PRAMEF25	-	ENSG00000204505.3	1180.130000	0.000000	0.000000
chr1	13052393	13112702	PRAMEF26	-	ENSG00000229571.2	1228.130000	0.000000	0.000000
chr1	13182959	13184326	HNRNPCL2	-	ENSG00000275774.2_2	900.130000	0.000000	0.000000
chr1	13629924	13635299	PRAMEF10	+	ENSG00000187545.5_2	1274.130000	0.000000	0.000000
chr1	13641972	13648987	PRAMEF15	+	ENSG00000157358.7	1615.130000	0.000000	0.000000
chr1	13668268	13673511	PRAMEF13	-	ENSG00000279169.2_2	1018.630000	0.000000	0.000000
chr1	13668268	13673511	PRAMEF14	-	ENSG00000204481.7_2	1263.130000	0.000000	0.000000
chr1	13694888	13698405	PRAMEF19	-	ENSG00000204480.7_2	985.130000	0.000000	0.000000
chr1	13716091	13719089	PRAMEF17	+	ENSG00000204479.4_2	1330.130000	0.000000	0.000000
chr1	13736906	13747803	PRAMEF20	+	ENSG00000204478.9_2	1301.630000	0.000000	0.000000
chr1	13801444	13840242	LRRC38	-	ENSG00000162494.5_2	1961.130000	0.000000	0.000000
chr1	13910251	13944452	PDPN	+	ENSG00000162493.16_3	1269.390000	0.000000	0.000000
chr1	14031349	14151574	PRDM2	+	ENSG00000116731.22_3	4411.030000	4661.000000	14.280000
chr1	14925212	15394651	KAZN	+	ENSG00000189337.16_3	3749.760000	1995.000000	7.190000
chr1	15438310	15478960	TMEM51-AS1	-	ENSG00000175147.11_2	4692.130000	0.000000	0.000000
chr1	15480228	15546974	TMEM51	+	ENSG00000171729.13_2	1600.600000	122.000000	1.030000
chr1	15494969	15498120	C1orf195	-	ENSG00000204464.7_2	103.770000	0.000000	0.000000
chr1	15573767	15724622	FHAD1	+	ENSG00000142621.19_2	2258.330000	188.650000	1.130000
chr1	15736390	15756839	EFHD2	+	ENSG00000142634.12_2	2165.000000	8947.000000	55.860000
chr1	15764937	15773153	CTRC	+	ENSG00000162438.11_2	997.480000	0.000000	0.000000
chr1	15783222	15798586	CELA2A	+	ENSG00000142615.7_3	430.830000	0.000000	0.000000
chr1	15802595	15817895	CELA2B	+	ENSG00000215704.9_3	562.130000	8.000000	0.190000
chr1	15817895	15850940	CASP9	-	ENSG00000132906.17_3	1764.430000	3062.000000	23.460000
chr1	15853307	15898228	DNAJC16	+	ENSG00000116138.12_2	4062.170000	2570.000000	8.550000
chr1	15898193	15911605	AGMAT	-	ENSG00000116771.5_2	2252.130000	1.000000	0.010000
chr1	15943952	15987552	DDI2	+	ENSG00000197312.11_3	8861.740000	8538.000000	13.020000
chr1	15986207	15988525	RSC1A1	+	ENSG00000215695.1_3	1606.130000	0.000000	0.000000
chr1	16010797	16061264	PLEKHM2	+	ENSG00000116786.11_3	3407.530000	7729.000000	30.660000
chr1	16062808	16067887	SLC25A34	+	ENSG00000162461.7_2	2738.130000	87.000000	0.430000
chr1	16068986	16074292	TMEM82	+	ENSG00000162460.6_2	860.640000	0.000000	0.000000
chr1	16085254	16113084	FBLIM1	+	ENSG00000162458.12_3	832.180000	0.000000	0.000000
chr1	16133656	16134194	UQCRHL	-	ENSG00000233954.6_2	1932.130000	1435.470000	10.040000
chr1	16160709	16174642	FLJ37453	-	ENSG00000179743.4_2	2225.130000	1264.000000	7.680000
chr1	16174358	16266950	SPEN	+	ENSG00000065526.10_2	7731.000000	13936.000000	24.370000
chr1	16268363	16302627	ZBTB17	-	ENSG00000116809.11_2	1561.090000	4566.000000	39.540000
chr1	16330730	16333190	C1orf64	+	ENSG00000183888.4_2	2791.130000	0.000000	0.000000
chr1	16340522	16345285	HSPB7	-	ENSG00000173641.17_3	2454.130000	22.000000	0.120000
chr1	16348485	16360545	CLCNKA	+	ENSG00000186510.11_2	576.130000	12.000000	0.280000
chr1	16370230	16383821	CLCNKB	+	ENSG00000184908.17_2	1954.680000	186.000000	1.290000
chr1	16384263	16400127	FAM131C	-	ENSG00000185519.8_2	1447.130000	24.000000	0.220000
chr1	16450831	16482604	EPHA2	-	ENSG00000142627.12_2	3716.130000	12.000000	0.040000
chr1	16524348	16539166	ARHGEF19	-	ENSG00000142632.16_3	1381.620000	1151.000000	11.260000
chr1	16558181	16563659	RSG1	-	ENSG00000132881.11_2	755.800000	439.000000	7.850000
chr1	16573334	16678986	FBXO42	-	ENSG00000037637.10_3	3369.120000	2941.000000	11.800000
chr1	16693524	16724643	SZRD1	+	ENSG00000055070.16_2	2836.250000	13366.000000	63.700000
chr1	16725137	16763919	SPATA21	-	ENSG00000187144.11_2	1066.340000	16.000000	0.200000
chr1	16767166	16786584	NECAP2	+	ENSG00000157191.19_2	1324.480000	7948.000000	81.110000
chr1	16793930	16819196	CROCCP3	-	ENSG00000080947.14_2	2836.580000	379.350000	1.810000
chr1	16860385	16862147	LINC01783	-	ENSG00000233421.4_2	1232.690000	45.370000	0.500000
chr1	16888921	16940100	NBPF1	-	ENSG00000219481.10_2	3049.870000	4807.670000	21.310000
chr1	16944750	16957401	CROCCP2	-	ENSG00000215908.10_3	1725.140000	7705.000000	60.370000
chr1	16972068	16976915	MST1P2	+	ENSG00000186301.8_2	2043.130000	60.250000	0.400000
chr1	17017712	17046652	ESPNP	-	ENSG00000268869.5_2	1004.480000	0.000000	0.000000
chr1	17081128	17090975	MST1L	-	ENSG00000186715.10_2	1527.140000	33.750000	0.300000
chr1	17248444	17299474	CROCC	+	ENSG00000058453.16_3	1639.640000	1380.000000	11.380000
chr1	17300998	17307173	MFAP2	-	ENSG00000117122.13_3	832.650000	0.000000	0.000000
chr1	17312452	17338467	ATP13A2	-	ENSG00000159363.17_3	1899.340000	3034.000000	21.590000
chr1	17345224	17380665	SDHB	-	ENSG00000117118.9_2	887.240000	19471.000000	296.640000
chr1	17393255	17445948	PADI2	-	ENSG00000117115.12_2	2740.380000	0.000000	0.000000
chr1	17531620	17572501	PADI1	+	ENSG00000142623.9_2	2246.480000	0.000000	0.000000
chr1	17575592	17610727	PADI3	+	ENSG00000142619.4_2	2941.130000	0.000000	0.000000
chr1	17634689	17690495	PADI4	+	ENSG00000159339.13_2	645.200000	0.000000	0.000000
chr1	17698690	17728195	PADI6	+	ENSG00000276747.1_3	2148.130000	0.000000	0.000000
chr1	17733250	17766250	RCC2	-	ENSG00000179051.13_3	3814.510000	29547.030000	104.700000
chr1	17866329	18024370	ARHGEF10L	+	ENSG00000074964.16_2	2385.150000	0.000000	0.000000
chr1	18081807	18153558	ACTL8	+	ENSG00000117148.7_2	1542.420000	256.000000	2.240000
chr1	18392150	18400905	LINC01654	+	ENSG00000261781.1_2	2223.130000	0.000000	0.000000
chr1	18434239	18704977	IGSF21	+	ENSG00000117154.11_3	1081.640000	0.000000	0.000000
chr1	18807423	18812480	KLHDC7A	+	ENSG00000179023.8_2	4897.130000	5.000000	0.010000
chr1	18957499	19062632	PAX7	+	ENSG00000009709.11_2	5290.130000	1.000000	0.000000
chr1	19166092	19186155	TAS1R2	-	ENSG00000179002.5_3	2294.130000	0.000000	0.000000
chr1	19197923	19229293	ALDH4A1	-	ENSG00000159423.16_3	2206.550000	3831.000000	23.470000
chr1	19230773	19282826	IFFO2	-	ENSG00000169991.10_3	5214.270000	131.000000	0.340000
chr1	19400999	19536746	UBR4	-	ENSG00000127481.14_3	3548.460000	36388.590000	138.610000
chr1	19542157	19578053	EMC1	-	ENSG00000127463.13_3	3459.000000	5625.620000	21.980000
chr1	19578074	19586622	MRTO4	+	ENSG00000053372.4_2	2011.420000	17220.000000	115.720000
chr1	19592475	19600616	AKR7L	-	ENSG00000211454.13_2	1713.170000	159.000000	1.250000
chr1	19609056	19615280	AKR7A3	-	ENSG00000162482.4_2	1462.130000	120.000000	1.110000
chr1	19629201	19638640	AKR7A2	-	ENSG00000053371.12_3	1108.390000	4655.000000	56.770000
chr1	19638739	19655794	PQLC2	+	ENSG00000040487.12_3	1337.310000	3054.000000	30.870000
chr1	19665266	19812135	CAPZB	-	ENSG00000077549.17_2	1083.090000	7737.000000	96.560000
chr1	19923470	19984949	MINOS1-NBL1	+	ENSG00000270136.5_3	760.140000	0.000000	0.000000
chr1	19923470	19956315	MINOS1	+	ENSG00000173436.13_3	1014.960000	8968.000000	119.430000
chr1	19969722	19984949	NBL1	+	ENSG00000158747.13_3	1728.410000	212.000000	1.660000
chr1	19991779	20007459	HTR6	+	ENSG00000158748.3_2	1736.130000	0.000000	0.000000
chr1	20008705	20126514	TMCO4	-	ENSG00000162542.13_2	1225.560000	133.000000	1.470000
