gene_name	chr	tss	strand	name	length	read_count
CHKB	chr22	51021428	-	chr22:51021094-51021594	500	402
CHKB-AS1	chr22	51021454	+	chr22:51021094-51021594	500	402
CHKB-CPT1B	chr22	51021428	-	chr22:51021094-51021594	500	402
CLDN5	chr22	19512860	-	chr22:19513122-19513622	500	47
CLTCL1	chr22	19279239	-	chr22:19279526-19280026,chr22:19277883-19278878	1495	724
COMT	chr22	19929262	+	chr22:19929949-19930449,chr22:19928529-19929029,chr22:19929154-19929654	1500	764
CRELD2	chr22	50312277	+	chr22:50311879-50312379	500	272
CRKL	chr22	21271713	+	chr22:21271206-21271706	500	4916
CRYBB1	chr22	27013991	-	chr22:27013551-27014051,chr22:27014375-27014875	1000	160
CRYBB2P1	chr22	25844053	+	chr22:25842962-25843462,chr22:25843628-25844128,chr22:25844545-25845045	1500	251
CSNK1E	chr22	38714089	-	chr22:38713359-38713859,chr22:38714154-38714654	1000	201
CYB5R3	chr22	43042995	-	chr22:43042831-43043331	500	127
CYTH4	chr22	37678423	+	chr22:37677687-37678187,chr22:37678223-37678723	1000	53
DDX17	chr22	38902345	-	chr22:38902272-38902772	500	483
DENND6B	chr22	50765489	-	chr22:50765360-50765860	500	45
DEPDC5	chr22	32150008	+	chr22:32149646-32150146,chr22:32148874-32149374	1000	513
DERL3	chr22	24181199	-	chr22:24181155-24181655	500	901
DESI1	chr22	42017061	-	chr22:42016953-42017453	500	743
DGCR10	chr22	19010136	+	chr22:19010213-19010713	500	56
DGCR14	chr22	19132190	-	chr22:19132059-19132559,chr22:19131376-19131876	1000	3082
DGCR2	chr22	19109967	-	chr22:19109825-19110325,chr22:19108933-19109433	1000	1487
DGCR6	chr22	18893735	+	chr22:18892293-18892793,chr22:18893470-18893970,chr22:18894373-18894873	1500	507
DGCR6L	chr22	20307628	-	chr22:20306778-20307278,chr22:20307382-20307882	1000	1349
DGCR8	chr22	20067754	+	chr22:20068324-20068824,chr22:20067261-20067761	1000	2076
DGCR9	chr22	19005346	+	chr22:19005293-19005793	500	28
DMC1	chr22	38966201	-	chr22:38966152-38966652,chr22:38966859-38967359	1000	298
DNAL4	chr22	39190161	-	chr22:39188756-39189256,chr22:39190000-39190500	1000	772
DRG1	chr22	31795538	+	chr22:31796426-31796926,chr22:31795299-31795799	1000	437
DUSP18	chr22	31063877	-	chr22:31063593-31064093	500	206
EIF3D	chr22	36925277	-	chr22:36925081-36925581	500	1013
EIF3L	chr22	38245378	+	chr22:38245138-38245638	500	205
EIF4ENIF1	chr22	31885874	-	chr22:31885657-31886157,chr22:31884756-31885256,chr22:31886356-31886856	1500	287
EP300	chr22	41488613	+	chr22:41488306-41488806,chr22:41487330-41487830	1000	585
EP300-AS1	chr22	41593505	-	chr22:41593431-41593931,chr22:41592706-41593206	1000	81
EWSR1	chr22	29663997	+	chr22:29663794-29664294,chr22:29662541-29663041	1000	340
FAM118A	chr22	45705784	+	chr22:45705355-45705855	500	271
FAM227A	chr22	39052634	-	chr22:39052263-39053244	981	175
FAM83F	chr22	40390952	+	chr22:40389891-40390391	500	82
FBXO7	chr22	32871223	+	chr22:32870418-32870918,chr22:32871197-32871697	1000	269
FBXW4P1	chr22	23604953	+	chr22:23605893-23606393	500	36
FOXRED2	chr22	36903090	-	chr22:36902799-36903299	500	155
GAS2L1	chr22	29702984	+	chr22:29702164-29702664	500	232
GCAT	chr22	38203911	+	chr22:38203518-38204018,chr22:38202833-38203333	1000	509
GGA1	chr22	38004480	+	chr22:38003096-38003596,chr22:38004376-38004876	1000	547
GGT1	chr22	24999123	+	chr22:24998976-24999476,chr22:24999630-25000130	1000	65
GNAZ	chr22	23412539	+	chr22:23411964-23412464	500	582
GNB1L	chr22	19842462	-	chr22:19842227-19842727,chr22:19843207-19843707	1000	3227
GP1BB	chr22	19711065	+	chr22:19711516-19712016,chr22:19709758-19710258,chr22:19710705-19711205	1500	3545
GRAMD4	chr22	47016298	+	chr22:47015605-47016105	500	26
GRAP2	chr22	40322594	+	chr22:40322324-40322824,chr22:40323472-40323972	1000	65
GRK3	chr22	25960860	+	chr22:25959719-25960219,chr22:25960373-25960873	1000	144
GSTT1	chr22	24384311	-	chr22:24384055-24384555	500	312
GTPBP1	chr22	39101806	+	chr22:39101387-39101887	500	1834
GTSE1	chr22	46692637	+	chr22:46692388-46692888	500	392
GTSE1-AS1	chr22	46692557	-	chr22:46692388-46692888	500	392
GUCD1	chr22	24951275	-	chr22:24951680-24952180,chr22:24951040-24951540	1000	632
GUSBP11	chr22	24059610	-	chr22:24059333-24059833	500	141
HDAC10	chr22	50689834	-	chr22:50688808-50689308,chr22:50689462-50689962	1000	133
HDHD5-AS1	chr22	17640278	+	chr22:17639697-17640197	500	75
HIC2	chr22	21771692	+	chr22:21772118-21772618,chr22:21770473-21770973	1000	94
HIRA	chr22	19419219	-	chr22:19419716-19420216,chr22:19417914-19418414	1000	2364
HMGXB4	chr22	35653444	+	chr22:35653047-35653547,chr22:35654162-35654662	1000	163
HPS4	chr22	26879829	-	chr22:26879551-26880051	500	157
HSCB	chr22	29138019	+	chr22:29137589-29138089,chr22:29138315-29138815	1000	1154
IFT27	chr22	37172177	-	chr22:37172167-37172667	500	296
IGLL1	chr22	23922495	-	chr22:23922855-23923355	500	32
IL17RA	chr22	17565848	+	chr22:17565510-17566010	500	347
IL2RB	chr22	37546030	-	chr22:37545871-37546371	500	55
JOSD1	chr22	39096459	-	chr22:39096846-39097705	859	270
KCNJ4	chr22	38840033	-	chr22:38839970-38840470	500	46
KCTD17	chr22	37447775	+	chr22:37447439-37447939	500	32
KDELR3	chr22	38864066	+	chr22:38863725-38864225	500	46
KLHL22	chr22	20850170	-	chr22:20850074-20850574,chr22:20848914-20849414	1000	1000
KREMEN1	chr22	29469065	+	chr22:29468520-29469020	500	227
L3MBTL2	chr22	41601312	+	chr22:41600986-41601486	500	378
LDOC1L	chr22	44894005	-	chr22:44894060-44894560	500	128
LGALS1	chr22	38071612	+	chr22:38071127-38071627	500	386
LGALS2	chr22	37976024	-	chr22:37975945-37976445	500	52
LIMK2	chr22	31644347	+	chr22:31644038-31644538	500	130
LINC00229	chr22	45021299	-	chr22:45022052-45022552	500	26
LINC00528	chr22	18260055	+	chr22:18259954-18260454	500	142
LINC00634	chr22	42348190	+	chr22:42346922-42347422	500	48
LINC00895	chr22	19554362	-	chr22:19554081-19554581,chr22:19553532-19554032	1000	58
LINC00896	chr22	20193854	+	chr22:20193636-20194136,chr22:20194326-20194826	1000	894
LINC00898	chr22	48027318	-	chr22:48027250-48027750	500	174
LINC01311	chr22	19159218	+	chr22:19158108-19158608,chr22:19158867-19159367	1000	728
LINC01315	chr22	42765214	-	chr22:42765178-42765678	500	200
LINC01399	chr22	35627049	-	chr22:35626865-35627365,chr22:35625924-35626424,chr22:35627398-35627898	1500	268
LINC01521	chr22	31742744	+	chr22:31741824-31742324	500	80
LINC01637	chr22	21311379	+	chr22:21310479-21310979	500	95
LINC01659	chr22	23775750	+	chr22:23775456-23775956	500	34
LINC01664	chr22	17602484	+	chr22:17601180-17601680	500	23
LINC01665	chr22	17229328	-	chr22:17230167-17230667,chr22:17228220-17228983	1263	64
LL22NC03-63E9.3	chr22	22901749	+	chr22:22901402-22901902	500	3038
LMF2	chr22	50946135	-	chr22:50946342-50946842,chr22:50946885-50947385	1000	350
LOC100506679	chr22	43434590	+	chr22:43434282-43434782	500	67
LOC100507599	chr22	26908497	+	chr22:26908235-26908735	500	281
LOC101927051	chr22	38054384	-	chr22:38053522-38054022,chr22:38054252-38054752	1000	1284
LOC101927447	chr22	43671947	+	chr22:43671513-43672013	500	187
LOC105373031	chr22	38966504	+	chr22:38966152-38966652,chr22:38966859-38967359	1000	298
LOC105373051	chr22	43608679	+	chr22:43608995-43609495	500	22
LOC284865	chr22	20192441	-	chr22:20191190-20191690	500	76
LOC284930	chr22	48027422	+	chr22:48027250-48027750	500	174
LOC391322	chr22	24373116	+	chr22:24372719-24373219	500	618
LOC400927	chr22	38794931	-	chr22:38794685-38795533	848	120
LOC400927-CSNK1E	chr22	38794527	-	chr22:38794685-38795533,chr22:38793368-38793868	1348	158
LOC730668	chr22	46402495	+	chr22:46402144-46402644	500	51
LRP5L	chr22	25758524	-	chr22:25758193-25758693	500	25
LRRC74B	chr22	21400248	+	chr22:21399876-21400376	500	561
LRRC75B	chr22	24989035	-	chr22:24988917-24989417	500	59
LZTR1	chr22	21336557	+	chr22:21336939-21337439,chr22:21336189-21336689	1000	1105
MAFF	chr22	38597938	+	chr22:38597658-38598158,chr22:38598354-38598854,chr22:38598865-38599365	1500	408
MAPK1	chr22	22221970	-	chr22:22221922-22222422	500	1866
MAPK11	chr22	50708822	-	chr22:50708817-50709317,chr22:50707983-50708483	1000	90
MAPK12	chr22	50700239	-	chr22:50700848-50701348,chr22:50700051-50700551,chr22:50699344-50699844	1500	122
MAPK8IP2	chr22	51039113	+	chr22:51038409-51038909	500	12
MCAT	chr22	43539403	-	chr22:43539172-43539672	500	117
MCM5	chr22	35796115	+	chr22:35795784-35796284	500	446
MED15	chr22	20861828	+	chr22:20861552-20862052	500	1046
MFNG	chr22	37882478	-	chr22:37882413-37882913	500	28
MIATNB	chr22	27068805	+	chr22:27068598-27069098	500	411
MICALL1	chr22	38302154	+	chr22:38301834-38302334,chr22:38301016-38301516	1000	257
MIEF1	chr22	39898234	+	chr22:39897983-39898483,chr22:39896888-39897388	1000	549
MIF	chr22	24236564	+	chr22:24236866-24237366,chr22:24237454-24237954,chr22:24236174-24236674	1500	586
MIOX	chr22	50925212	+	chr22:50924981-50925481	500	20
MIRLET7BHG	chr22	46481876	+	chr22:46481548-46482048,chr22:46480749-46481249	1000	160
MKL1	chr22	41032723	-	chr22:41032625-41033125	500	866
MLC1	chr22	50524358	-	chr22:50524022-50524522	500	90
MORC2	chr22	31364273	-	chr22:31364901-31365401,chr22:31364335-31364835	1000	513
MPST	chr22	37415682	+	chr22:37416118-37416618	500	38
MRPL40	chr22	19419424	+	chr22:19419716-19420216	500	1750
MTMR3	chr22	30279157	+	chr22:30278848-30279348	500	209
MYH9	chr22	36784112	-	chr22:36784024-36784524	500	1127
MYO18B	chr22	26138110	+	chr22:26137738-26138238,chr22:26136766-26137266	1000	395
NAGA	chr22	42466846	-	chr22:42466581-42467081,chr22:42465749-42466249	1000	906
NCAPH2	chr22	50946644	+	chr22:50946342-50946842,chr22:50946885-50947385	1000	350
NCF4	chr22	37257029	+	chr22:37256796-37257296	500	22
NDUFA6	chr22	42486959	-	chr22:42485931-42486431,chr22:42486659-42487159	1000	964
NDUFA6-AS1	chr22	42486936	+	chr22:42485931-42486431,chr22:42486659-42487159	1000	964
NEFH	chr22	29876180	+	chr22:29876860-29877360	500	738
NF2	chr22	29999544	+	chr22:29999136-29999636	500	1477
NIPSNAP1	chr22	29977326	-	chr22:29975879-29976379,chr22:29977713-29978213,chr22:29976942-29977442,chr22:29976436-29976936	2000	319
NOL12	chr22	38082343	+	chr22:38082157-38082657	500	178
NPTXR	chr22	39240017	-	chr22:39240071-39240571	500	79
NUP50	chr22	45559725	+	chr22:45559522-45560022	500	296
NUP50-AS1	chr22	45559662	-	chr22:45559522-45560022	500	296
ODF3B	chr22	50971008	-	chr22:50971735-50972235	500	97
OGFRP1	chr22	42665758	+	chr22:42665382-42665882,chr22:42664760-42665260,chr22:42666483-42666983	1500	127
OSM	chr22	30662832	-	chr22:30661959-30662459	500	26
P2RX6	chr22	21369463	+	chr22:21368925-21369425,chr22:21368371-21368871	1000	3377
PACSIN2	chr22	43343047	-	chr22:43343109-43343609	500	24
PANX2	chr22	50609159	+	chr22:50608439-50608939	500	34
PATZ1	chr22	31742249	-	chr22:31741824-31742324	500	80
PDGFB	chr22	39641060	-	chr22:39640774-39641274	500	53
PDXP	chr22	38054736	+	chr22:38053522-38054022,chr22:38054252-38054752	1000	1284
PES1	chr22	30987927	-	chr22:30987911-30988411	500	540
PEX26	chr22	18560685	+	chr22:18560380-18560880	500	445
PHF21B	chr22	45404874	-	chr22:45403560-45404474	914	35
PHF5A	chr22	41864708	-	chr22:41864622-41865122,chr22:41865305-41865805	1000	792
PI4KA	chr22	21213100	-	chr22:21212939-21213439,chr22:21212432-21212932	1000	2538
PICK1	chr22	38453261	+	chr22:38453011-38453511	500	183
PIK3IP1	chr22	31688520	-	chr22:31688316-31688816	500	197
PIM3	chr22	50354142	+	chr22:50353758-50354258	500	502
PISD	chr22	32058550	-	chr22:32058100-32058600	500	446
PITPNB	chr22	28315294	-	chr22:28315157-28315657,chr22:28314418-28314918	1000	455
PLA2G3	chr22	31536593	-	chr22:31536288-31536788	500	56
PLA2G6	chr22	38577761	-	chr22:38577632-38578132	500	801
PLXNB2	chr22	50746001	-	chr22:50745870-50746370,chr22:50746898-50747398	1000	287
PMM1	chr22	41985871	-	chr22:41985800-41986300	500	851
PNPLA3	chr22	44319618	+	chr22:44319459-44319959	500	103
POLDIP3	chr22	43010968	-	chr22:43011214-43011714	500	859
POLR2F	chr22	38349669	+	chr22:38349413-38349913,chr22:38348574-38349074	1000	256
POLR3H	chr22	41940493	-	chr22:41940368-41940868	500	537
POM121L4P	chr22	21043842	+	chr22:21042436-21042936	500	110
PPARA	chr22	46546498	+	chr22:46546041-46546541	500	28
PPIL2	chr22	22020272	+	chr22:22020211-22020711,chr22:22021050-22021550	1000	1771
PPM1F	chr22	22307250	-	chr22:22307034-22307534,chr22:22306365-22306865	1000	573
PPP6R2	chr22	50781745	+	chr22:50781324-50781824,chr22:50780635-50781135	1000	125
PRAME	chr22	22901768	-	chr22:22901402-22901902	500	3038
PRAMENP	chr22	22398332	-	chr22:22397340-22397840,chr22:22398123-22398623	1000	91
PRR14L	chr22	32146120	-	chr22:32145929-32146429	500	321
PRR5	chr22	45072687	+	chr22:45072497-45072997	500	372
PRR5-ARHGAP8	chr22	45098077	+	chr22:45097191-45097691	500	59
RAB36	chr22	23487512	+	chr22:23487205-23487705	500	1557
RABL2B	chr22	51222087	-	chr22:51221911-51222411	500	91
RAC2	chr22	37640339	-	chr22:37640104-37640604	500	166
RANBP1	chr22	20104946	+	chr22:20105257-20105757,chr22:20104567-20105067	1000	2763
RANGAP1	chr22	41682255	-	chr22:41682153-41682653,chr22:41681398-41681898	1000	869
RASD2	chr22	35937351	+	chr22:35936398-35936898	500	23
RBFOX2	chr22	36236630	-	chr22:36236360-36236860	500	267
RBX1	chr22	41347350	+	chr22:41347372-41347872	500	511
RHBDD3	chr22	29663984	-	chr22:29663794-29664294,chr22:29662541-29663041	1000	340
RNF185	chr22	31556137	+	chr22:31555898-31556398	500	144
RNF215	chr22	30783302	-	chr22:30783334-30783834	500	35
RPL23AP82	chr22	51195513	+	chr22:51195445-51195945	500	37
RPL3	chr22	39715670	-	chr22:39716050-39716550,chr22:39715469-39715969	1000	441
RPS19BP1	chr22	39928860	-	chr22:39928667-39929167	500	1123
RRP7A	chr22	42915829	-	chr22:42915750-42916250,chr22:42916620-42917120	1000	104
RRP7BP	chr22	42978017	-	chr22:42977856-42978356	500	52
RSPH14	chr22	23484241	-	chr22:23484046-23484546,chr22:23483482-23483982	1000	1599
RTCB	chr22	32808274	-	chr22:32807228-32807728,chr22:32808030-32808530	1000	266
RTN4R	chr22	20255816	-	chr22:20255791-20256291,chr22:20254882-20255382	1000	148
SAMM50	chr22	44351260	+	chr22:44350218-44350718,chr22:44351515-44352015,chr22:44351004-44351504	1500	231
SBF1	chr22	50913500	-	chr22:50913319-50913819	500	117
SCO2	chr22	50964034	-	chr22:50963838-50964338,chr22:50964565-50965065	1000	361
SDF2L1	chr22	21996541	+	chr22:21995643-21996143,chr22:21996171-21996671,chr22:21997293-21997793	1500	4950
SEC14L4	chr22	30901698	-	chr22:30902352-30902852	500	179
SELENOM	chr22	31503573	-	chr22:31503483-31503983	500	447
SELENOO	chr22	50639407	+	chr22:50639090-50639590	500	127
SEPT5	chr22	19701986	+	chr22:19701035-19701992	957	165
SEPT5-GP1BB	chr22	19704742	+	chr22:19705478-19705978	500	316
SERHL	chr22	42896584	+	chr22:42896357-42896857	500	142
SERHL2	chr22	42949867	+	chr22:42949608-42950108	500	316
SF3A1	chr22	30752936	-	chr22:30752622-30753122	500	123
SFI1	chr22	31892124	+	chr22:31892088-31892588	500	278
SGSM1	chr22	25202187	+	chr22:25201870-25202370	500	92
SGSM3	chr22	40766565	+	chr22:40766361-40766861,chr22:40767314-40767814	1000	230
SLC25A1	chr22	19166376	-	chr22:19166826-19167326,chr22:19166180-19166680	1000	1646
SLC25A17	chr22	41215403	-	chr22:41215256-41216212	956	194
SLC25A18	chr22	18043138	+	chr22:18042552-18043052	500	201
SLC2A11	chr22	24198889	+	chr22:24199707-24200207	500	470
SLC35E4	chr22	31031801	+	chr22:31031406-31031906,chr22:31030431-31030931	1000	183
SLC7A4	chr22	21386847	-	chr22:21386964-21387464	500	41
SMARCB1	chr22	24129117	+	chr22:24128800-24129750	950	210
SMDT1	chr22	42475694	+	chr22:42475538-42476250	712	612
SMTN	chr22	31477281	+	chr22:31476890-31477390	500	235
SNAP29	chr22	21213291	+	chr22:21212939-21213439,chr22:21212432-21212932	1000	2538
SNRPD3	chr22	24951617	+	chr22:24951680-24952180,chr22:24951040-24951540	1000	632
SNU13	chr22	42084913	-	chr22:42084705-42085205,chr22:42083690-42084190	1000	170
SPECC1L	chr22	24666784	+	chr22:24667559-24668059,chr22:24666506-24667006	1000	286
SPECC1L-ADORA2A	chr22	24666784	+	chr22:24667559-24668059,chr22:24666506-24667006	1000	286
SREBF2	chr22	42229082	+	chr22:42228621-42229121	500	1026
SRRD	chr22	26879849	+	chr22:26879551-26880051	500	157
SSTR3	chr22	37608416	-	chr22:37608225-37608725	500	39
ST13	chr22	41253012	-	chr22:41251664-41252164,chr22:41252606-41253106	1000	466
SUN2	chr22	39152024	-	chr22:39151403-39152356	953	168
SYCE3	chr22	51001381	-	chr22:51001719-51002219,chr22:51001152-51001652	1000	319
TAB1	chr22	39795758	+	chr22:39795496-39795996	500	219
TANGO2	chr22	20008591	+	chr22:20008227-20008727,chr22:20008944-20009444	1000	1210
TBC1D10A	chr22	30722955	-	chr22:30723832-30724332,chr22:30722875-30723375	1000	311
TBC1D22A	chr22	47158513	+	chr22:47158259-47158759	500	235
TBX1	chr22	19744225	+	chr22:19745099-19745599,chr22:19743996-19744496	1000	319
TCN2	chr22	31003069	+	chr22:31002819-31003319	500	66
TEF	chr22	41777932	+	chr22:41776971-41777962	991	790
TFIP11	chr22	26908472	-	chr22:26908235-26908735	500	281
THAP7	chr22	21356404	-	chr22:21356013-21356513	500	3432
THAP7-AS1	chr22	21356210	+	chr22:21356013-21356513	500	3432
THOC5	chr22	29949736	-	chr22:29949609-29950109	500	553
TMEM184B	chr22	38669040	-	chr22:38669352-38669852,chr22:38668780-38669280	1000	79
TMEM191B	chr22	20377668	+	chr22:20378409-20378909	500	170
TMEM191C	chr22	21821458	+	chr22:21822385-21822885	500	793
TMEM211	chr22	25335314	-	chr22:25334621-25335121	500	17
TNFRSF13C	chr22	42322821	-	chr22:42321968-42322468,chr22:42323773-42324273	1000	94
TNRC6B	chr22	40573928	+	chr22:40572912-40573412,chr22:40573628-40574128	1000	829
TOB2	chr22	41843027	-	chr22:41842632-41843132	500	195
TOM1	chr22	35695796	+	chr22:35695871-35696371	500	446
TOMM22	chr22	39077953	+	chr22:39077040-39077540,chr22:39077653-39078153	1000	195
TOP3B	chr22	22337240	-	chr22:22336973-22337473,chr22:22336294-22336794	1000	627
TPST2	chr22	26986089	-	chr22:26986028-26986528	500	69
TPTEP1	chr22	17082800	+	chr22:17081915-17082415,chr22:17083727-17084928	1701	769
TRABD	chr22	50624340	+	chr22:50623978-50624478	500	64
TRIOBP	chr22	38142240	+	chr22:38142960-38143947,chr22:38141876-38142376	1487	107
TRMT2A	chr22	20104818	-	chr22:20105257-20105757,chr22:20104567-20105067	1000	2763
TRMU	chr22	46731297	+	chr22:46730444-46730944,chr22:46731383-46731883	1000	157
TSSK2	chr22	19118320	+	chr22:19117660-19118160,chr22:19118219-19118719,chr22:19118827-19119327	1500	104
TST	chr22	37415494	-	chr22:37416118-37416618	500	38
TTC28	chr22	29075853	-	chr22:29075905-29076405,chr22:29075393-29075893	1000	49
TTC28-AS1	chr22	28315363	+	chr22:28315157-28315657,chr22:28314418-28314918	1000	455
TTC38	chr22	46663860	+	chr22:46663501-46664001	500	171
TTLL1	chr22	43485434	-	chr22:43486103-43486603,chr22:43485186-43485686	1000	361
TTLL12	chr22	43583137	-	chr22:43583439-43583939	500	315
TUBA3FP	chr22	21368576	-	chr22:21368925-21369425,chr22:21368371-21368871	1000	3377
TUBGCP6	chr22	50683400	-	chr22:50683261-50683761,chr22:50682755-50683255	1000	207
TUG1	chr22	31365196	+	chr22:31365520-31366020,chr22:31364901-31365401,chr22:31364335-31364835	1500	548
TXN2	chr22	36877687	-	chr22:36877429-36878422	993	461
TXNRD2	chr22	19929515	-	chr22:19929949-19930449,chr22:19928529-19929029,chr22:19929154-19929654	1500	764
UBE2L3	chr22	21921835	+	chr22:21921752-21922252	500	561
UFD1	chr22	19466738	-	chr22:19466967-19467467	500	3631
UQCR10	chr22	30163357	+	chr22:30162855-30163355	500	648
USP18	chr22	18632757	+	chr22:18632564-18633064	500	103
XBP1	chr22	29196560	-	chr22:29196428-29196928,chr22:29195203-29195703	1000	249
XPNPEP3	chr22	41253084	+	chr22:41251664-41252164,chr22:41252606-41253106	1000	466
XRCC6	chr22	42017166	+	chr22:42016953-42017453	500	743
YDJC	chr22	21984340	-	chr22:21984123-21984623,chr22:21983443-21983943	1000	2609
YPEL1	chr22	22090123	-	chr22:22090036-22090536	500	2351
YWHAH	chr22	32340478	+	chr22:32339943-32340443	500	207
ZBED4	chr22	50247496	+	chr22:50246978-50247478	500	220
ZC3H7B	chr22	41697506	+	chr22:41697312-41697812	500	58
ZDHHC8	chr22	20119363	+	chr22:20118464-20118964	500	221
ZDHHC8P1	chr22	23744799	-	chr22:23744332-23745164	832	128
ZMAT5	chr22	30162969	-	chr22:30162855-30163355	500	648
ZNF280A	chr22	22874624	-	chr22:22873970-22874902	932	2605
ZNF280B	chr22	22863505	-	chr22:22862899-22863399	500	1231
ZNF70	chr22	24093279	-	chr22:24092573-24093073,chr22:24091848-24092348,chr22:24093122-24094077	1955	204
ZNF74	chr22	20748404	+	chr22:20748131-20748631	500	1559
ZNRF3	chr22	29313376	+	chr22:29313658-29314158	500	16
ZNRF3-AS1	chr22	29427464	-	chr22:29427324-29427824,chr22:29426513-29427013	1000	199
